Model,Topic,Coefficient,P_value,T_statistic,CI_Lower,CI_Upper
BIM,1,0.195534509623167,0.29848203447207095,1.0397437110407954,-0.17309780418533824,0.5641668234316722
BIM,2,1.6894591876334177,4.0424726365120617e-14,7.56970739721703,1.2519724415019553,2.12694593376488
BIM,3,1.0880608805505667,4.408810054481832e-07,5.053472142635575,0.6660150558978233,1.5101067052033101
BIM,4,0.2949486783470958,0.1243421067793818,1.5369191894952723,-0.08122786307508462,0.6711252197692763
BIM,5,0.06934054586963885,0.7071945830010404,0.3756363300824554,-0.29249893794430365,0.4311800296835813
BIM,6,1.0676672632950581,3.1871088589054514e-08,5.534841785433346,0.689549566800528,1.4457849597895882
BIM,7,1.6600142638738056,2.1513554246675657e-09,5.991003263653324,1.1168783114942764,2.2031502162533347
BIM,8,0.6855275092197335,0.00023678662706441285,3.677366547036885,0.320114290354058,1.050940728085409
BIM,9,0.5866270157013744,0.014844126595719199,2.436547063269426,0.11469054228189823,1.0585634891208506
BM25_Best,1,0.9262238488284631,0.13264388426975793,1.5038696598785983,-0.2810395924920168,2.133487290148943
BM25_Best,2,5.308709834815244,1.2292484248882595e-11,6.78402712972358,3.7748075299801167,6.842612139650371
BM25_Best,3,3.822998262281874,5.281812140844307e-07,5.018791137343444,2.3298557316710076,5.316140792892741
BM25_Best,4,1.2423714512876425,0.08447853521785112,1.7254288806266143,-0.16903041662650642,2.6537733192017914
BM25_Best,5,1.8030542281019453,0.0017842662129176538,3.1247439267276507,0.6719812061211845,2.934127250082706
BM25_Best,6,3.26422883374643,2.1091536982797348e-06,4.745229211424313,1.9158258982506635,4.612631769242196
BM25_Best,7,6.900710540139148,1.671712050361145e-13,7.382093062684641,5.068351468121716,8.73306961215658
BM25_Best,8,1.7183490501950327,0.006796503624800587,2.7071707051641924,0.47414378958226755,2.962554310807798
BM25_Best,9,3.0623369870803496,0.00012168197588896872,3.8441016468982734,1.5007923440954607,4.623881630065238
